,bodyid,name,type,glomerulus,soma_side,modality,cable.length.glom.um,presyn,presyn.glom,notes
67,1605204239,ORN_D,ORN_D,D,,olfactory,,,,
90,5812993853,ORN_D,ORN_D,D,,olfactory,,,,
89,1703359176,ORN_D,ORN_D,D,,olfactory,,,,
88,1701343239,ORN_D,ORN_D,D,,olfactory,,,,
87,1671970762,ORN_D,ORN_D,D,,olfactory,,,,
86,1671629585,ORN_D,ORN_D,D,,olfactory,,,,
85,1671305698,ORN_D,ORN_D,D,,olfactory,,,,
84,1668676767,ORN_D,ORN_D,D,,olfactory,,,,
83,1667933626,ORN_D,ORN_D,D,,olfactory,,,,
82,1667264339,ORN_D,ORN_D,D,,olfactory,,,,
81,1667260273,ORN_D,ORN_D,D,,olfactory,,,,
80,1639709544,ORN_D,ORN_D,D,,olfactory,,,,
57,1702318994,ORN_D,ORN_D,D,,olfactory,,,,
58,1703363258,ORN_D_R,ORN_D,D,B-ipsi,olfactory,,,,
59,1703695886,ORN_D,ORN_D,D,,olfactory,,,,
60,1734402468,ORN_D,ORN_D,D,,olfactory,,,,
61,1574160090,ORN_D,ORN_D,D,,olfactory,,,,
62,1574164579,ORN_D,ORN_D,D,,olfactory,,,,
76,1639368236,ORN_D,ORN_D,D,,olfactory,,,,
75,1639010352,ORN_D,ORN_D,D,,olfactory,,,,
74,1636898862,ORN_D,ORN_D,D,,olfactory,,,,
73,1636240001,ORN_D,ORN_D,D,,olfactory,,,,
72,1636238769,ORN_D,ORN_D,D,,olfactory,,,,
71,1636225661,ORN_D,ORN_D,D,,olfactory,,,,
91,5812995240,ORN_D,ORN_D,D,,olfactory,,,,
70,1636225589,ORN_D,ORN_D,D,,olfactory,,,,
68,1605864500,ORN_D,ORN_D,D,,olfactory,,,,
79,1639709508,ORN_D,ORN_D,D,,olfactory,,,,
66,1605204164,ORN_D,ORN_D,D,,olfactory,,,,
65,1605195203,ORN_D,ORN_D,D,,olfactory,,,,
64,1605194797,ORN_D,ORN_D,D,,olfactory,,,,
63,1574501116,ORN_D,ORN_D,D,,olfactory,,,,
69,1636225559,ORN_D,ORN_D,D,,olfactory,,,,
77,1639381243,ORN_D,ORN_D,D,,olfactory,,,,
78,1639709286,ORN_D,ORN_D,D,,olfactory,,,,
1700,1734730862,ORN_D,ORN_D,D,,olfactory,,,,
