,bodyid,name,type,PN_type,tract,lineage,fafb_type,hemisphere
1,1671638278,M_l2PNl20_R,M_l2PNl20,mPN,lALT,l2PN,,FIB
2,1793403571,M_l2PNl22_R,M_l2PNl22,mPN,lALT,l2PN,,FIB
3,1701299822,M_imPNl92_R,M_imPNl92,mPN,lALT,imPN,,FIB
4,1917866877,M_l2PNl23_R,M_l2PNl23,mPN,lALT,l2PN,,FIB
5,1700307582,M_l2PNl21_R,M_l2PNl21,mPN,lALT,l2PN,,FIB
6,1037293275,M_l2PNm16_R,M_l2PNm16,mPN,mALT,l2PN,,FIB
7,1671952694,M_lvPNm24_R,M_lvPNm24,mPN,mALT,lvPN,,FIB
8,5813024692,M_adPNm3_R,M_adPNm3,mPN,mALT,adPN,,FIB
9,850703925,M_lPNm11B_R,M_lPNm11B,mPN,mALT,lPN,,FIB
10,1733677514,M_l2PNm16_R,M_l2PNm16,mPN,mALT,l2PN,,FIB
11,1794055377,M_l2PNm15_R,M_l2PNm15,mPN,mALT,l2PN,,FIB
12,577542489,M_lvPNm24_R,M_lvPNm24,mPN,mALT,lvPN,,FIB
13,609924156,M_lvPNm39_R,M_lvPNm39,mPN,mALT,lvPN,,FIB
14,1917188956,M_lPNm11D_R,M_lPNm11D,mPN,mALT,lPN,,FIB
15,1671608112,M_ilPNm90_R,M_ilPNm90,mPN,mALT,ilPN,,FIB
16,5812995328,M_lvPNm26_R,M_lvPNm26,mPN,mALT,lvPN,,FIB
17,1693827279,M_adPNm8_R,M_adPNm8,mPN,mALT,adPN,,FIB
18,850708902,M_lPNm11C_R,M_lPNm11C,mPN,mALT,lPN,,FIB
19,5812983069,M_lPNm13_R,M_lPNm13,mPN,mALT,lPN,,FIB
20,5813024799,M_lPNm12_R,M_lPNm12,mPN,mALT,lPN,,FIB
21,5812992940,M_lvPNm46_R,M_lvPNm46,mPN,mALT,lvPN,,FIB
22,757258507,M_lvPNm45_R,M_lvPNm45,mPN,mALT,lvPN,,FIB
23,1827473315,M_lvPNm42_R,M_lvPNm42,mPN,mALT,lvPN,,FIB
24,1670969304,M_lvPNm28_R,M_lvPNm28,mPN,mALT,lvPN,,FIB
25,788945049,M_adPNm8_R,M_adPNm8,mPN,mALT,adPN,,FIB
26,1887163927,M_lPNm11D_R,M_lPNm11D,mPN,mALT,lPN,,FIB
27,730252777,M_lvPNm41_R,M_lvPNm41,mPN,mALT,lvPN,,FIB
28,1504889437,M_lvPNm38_R,M_lvPNm38,mPN,mALT,lvPN,,FIB
29,5813079228,M_lvPNm30_R,M_lvPNm30,mPN,mALT,lvPN,,FIB
30,1886132855,M_adPNm7_R,M_adPNm7,mPN,mALT,adPN,,FIB
31,1672293837,M_lvPNm29_R,M_lvPNm29,mPN,mALT,lvPN,,FIB
32,5901194250,M_lvPNm37_R,M_lvPNm37,mPN,mALT,lvPN,,FIB
33,757569579,M_lvPNm44_R,M_lvPNm44,mPN,mALT,lvPN,,FIB
34,1762674761,M_adPNm8_R,M_adPNm8,mPN,mALT,adPN,,FIB
35,1849683877,M_lvPNm46_R,M_lvPNm46,mPN,mALT,lvPN,,FIB
36,1765415970,M_lvPNm41_R,M_lvPNm41,mPN,mALT,lvPN,,FIB
37,757591093,M_lvPNm45_R,M_lvPNm45,mPN,mALT,lvPN,,FIB
38,762982753,M_adPNm5_R,M_adPNm5,mPN,mALT,adPN,,FIB
39,792024028,M_lvPNm43_R,M_lvPNm43,mPN,mALT,lvPN,,FIB
40,792023887,M_lvPNm45_R,M_lvPNm45,mPN,mALT,lvPN,,FIB
41,788940872,M_adPNm6_R,M_adPNm6,mPN,mALT,adPN,,FIB
42,1795410644,M_lvPNm41_R,M_lvPNm41,mPN,mALT,lvPN,,FIB
43,1732313117,M_lvPNm40_R,M_lvPNm40,mPN,mALT,lvPN,,FIB
44,2040344064,M_adPNm5_R,M_adPNm5,mPN,mALT,adPN,,FIB
45,1916528384,M_adPNm5_R,M_adPNm5,mPN,mALT,adPN,,FIB
46,851684181,M_lvPNm42_R,M_lvPNm42,mPN,mALT,lvPN,,FIB
