"","skid","name","tract","lineage","glomerulus","new_type_name","type","hemisphere"
"1",2064165421,"lPNX_V","lALT","C1","V","V C1","fib","FIB"
"2",5813039235,"mPN1_DM6","mALT","ALad1","DM6","DM6 ALad1","fib","FIB"
"3",1849684319,"mPNX","mALT","ALlv1","VC5","VC5 ALlv1","fib","FIB"
"4",632751823,"mPNX","mALT","ALlv1","VC5","VC5 ALlv1","fib","FIB"
"5",5813055184,"mPN1_D","mALT","ALad1","D","D ALad1","fib","FIB"
"6",1536947502,"mPN1_D","mALT","ALad1","D","D ALad1","fib","FIB"
"7",5813038889,"mPN1_D","mALT","ALad1","D","D ALad1","fib","FIB"
"8",1734350908,"mPN1_DA1","mALT","ALl1_dorsal","DA1","DA1 ALl1_dorsal","fib","FIB"
"9",1765040289,"mPN1_DA1","mALT","ALl1_dorsal","DA1","DA1 ALl1_dorsal","fib","FIB"
"10",754534424,"mPN1_DA1","mALT","ALl1_dorsal","DA1","DA1 ALl1_dorsal","fib","FIB"
"11",754538881,"mPN1_DA1","mALT","ALl1_dorsal","DA1","DA1 ALl1_dorsal","fib","FIB"
"12",1734350788,"mPN1_DA1","mALT","ALl1_dorsal","DA1","DA1 ALl1_dorsal","fib","FIB"
"13",722817260,"mPN1_DA1","mALT","ALl1_dorsal","DA1","DA1 ALl1_dorsal","fib","FIB"
"14",5813039315,"mPN1_DA1","mALT","ALl1_dorsal","DA1","DA1 ALl1_dorsal","fib","FIB"
"15",1796818119,"mPN1_DA2","mALT","ALl1_dorsal","DA2","DA2 ALl1_dorsal","fib","FIB"
"16",1827516355,"mPN1_DA2","mALT","ALl1_dorsal","DA2","DA2 ALl1_dorsal","fib","FIB"
"17",1796817841,"mPN1_DA2","mALT","ALl1_dorsal","DA2","DA2 ALl1_dorsal","fib","FIB"
"18",818983130,"mPN1_DA2","mALT","ALl1_dorsal","DA2","DA2 ALl1_dorsal","fib","FIB"
"19",1797505019,"mPN1_DA2","mALT","ALl1_dorsal","DA2","DA2 ALl1_dorsal","fib","FIB"
"20",1703683361,"mPN1_DA3","mALT","ALad1","DA3","DA3 ALad1","fib","FIB"
"21",666135689,"mPN1_DA3","mALT","ALad1","DA3","DA3 ALad1","fib","FIB"
"22",544021095,"mPN1_DA4l","mALT","ALad1","DA4l","DA4l ALad1","fib","FIB"
"23",574037266,"mPN1_DA4m","mALT","ALad1","DA4m","DA4m ALad1","fib","FIB"
