"","bodyid","glomerulus","soma_side","modality","cable.length.um","presyn.glom","presyn"
"1",1606205114,"DL3","contralateral","olfactory",40.7186945666271,30,30
"2",1636558008,"DM3","contralateral","olfactory",113.39555028291,36,36
"3",1666932704,"DM2","ipsilateral","olfactory",51.7156742061515,18,18
"4",1667281936,"DM6","ipsilateral","olfactory",70.5131159594868,50,52
"5",1670286505,"DL4","contralateral","olfactory",45.9062589295025,26,27
"6",1670934229,"DL4","contralateral","olfactory",59.6882960947702,28,28
"7",1670938273,"DL4","contralateral","olfactory",67.5090499622116,28,29
"8",1671271225,"DL4","contralateral","olfactory",76.4298855944946,36,36
"9",1671279198,"DL3","contralateral","olfactory",25.7887013993469,29,30
"10",1671603328,"DL3","contralateral","olfactory",45.2944914443777,40,41
"11",1671944099,"DL3","contralateral","olfactory",30.2835009824206,25,25
"12",1671970331,"DA1","contralateral","olfactory",108.650899997996,53,53
"13",1700613707,"DL1",NA,"olfactory",47.6015780946087,25,25
"14",1701999467,"DM3","contralateral","olfactory",86.7123109086279,38,39
"15",1734355466,"DA1","ipsilateral","olfactory",90.7442634040916,61,64
"16",1735382453,"DA1","contralateral","olfactory",37.2182702422259,31,31
"17",1762325266,"VL2a","contralateral","olfactory",44.9633478823168,30,30
"18",1764703462,"DA1","contralateral","olfactory",59.9657494842418,53,54
"19",1791443060,"DM2","ipsilateral","olfactory",27.3203483670447,5,5
"20",1791728189,"DM4",NA,"olfactory",152.754119710054,77,81
"21",1791784074,"DM2","ipsilateral","olfactory",81.1200482705082,39,39
"22",1793152975,"DM2","ipsilateral","olfactory",161.945331107938,66,67
"23",1794448441,"DM2",NA,"olfactory",54.5838952843802,28,30
"24",1794456937,"DM2",NA,"olfactory",27.2904978012625,7,7
"25",1797444052,"DA1",NA,"olfactory",42.5979163503528,15,15
"26",1824805341,"DM2",NA,"olfactory",182.005497332119,56,56
"27",1825137958,"DM2",NA,"olfactory",60.1716087869114,24,24
"28",1825146110,"DM2",NA,"olfactory",159.766631646735,71,75
"29",1826169618,"DM2",NA,"olfactory",139.805446748918,81,83
"30",1827451271,"DA1","ipsilateral","olfactory",108.049392556011,55,55
"31",1855844720,"DM2",NA,"olfactory",131.679176859722,71,71
"32",1855848320,"DM2",NA,"olfactory",90.9339669197073,34,34
"33",1856522421,"DM2",NA,"olfactory",85.1189900120792,55,55
"34",1856863404,"DM2",NA,"olfactory",77.3982907715853,34,36
"35",1857200218,"DM2",NA,"olfactory",44.1829766771538,28,29
"36",1886870366,"DM2",NA,"olfactory",27.0793144474154,21,24
"37",1887557164,"DM2",NA,"olfactory",26.2434187631915,21,21
"38",1980916395,"VL2a","contralateral","olfactory",50.7592150182702,39,40
"39",2135132845,"VC3l","ipsilateral","olfactory",28.1326528092806,30,31
"40",2166098256,"VL2p","contralateral","olfactory",82.3185921904312,38,38
