bodyId,layer_mean,layer_olf_mean,layer_th_mean
200326126,5.104,5.627,5.359
202916528,6.522,6.758,7.061
203253072,6.226,6.317,6.838
203253253,5.698,5.965,6.193
203257652,6.53,6.747,6.975
203594169,6.179,6.268,6.788
203594175,6.249,6.31,6.851
203598499,6.125,6.297,6.707
203598504,6.385,6.484,6.895
203598542,6.568,6.668,7.043
203598557,6.439,6.62,6.9
203836007,6.405,6.738,6.609
203931040,6.205,6.28,6.851
204613133,6.438,6.485,6.915
204962646,6.224,6.39,6.772
204962969,6.007,6.122,6.538
205299889,5.98,6.08,6.698
206555682,6.079,6.259,6.471
232513628,8.339,8.598,8.797
232513671,7.225,7.461,7.674
233105330,4.608,4.803,5.182
233877926,9.001,9.167,9.415
234292899,6.332,6.451,6.914
235985275,6.436,6.515,7.009
236330337,6.653,6.793,7.101
236331138,6.604,6.712,7.102
262167456,8.023,8.23,8.432
262504004,8.035,8.228,8.449
262517074,7.36,7.569,7.784
262840563,7.334,7.581,7.753
263199096,7.47,7.697,7.858
263475451,5.586,5.703,6.336
263522664,7.983,8.312,8.324
263674097,3.903,3.962,5.396
264014957,3.808,3.824,5.287
264083994,3.324,4.423,3.321
264438143,3.857,4.037,4.803
264779403,3.745,3.831,5.25
264783939,3.691,3.68,5.405
264822904,4.631,4.712,5.475
264986706,6.126,6.335,6.676
265120223,4.327,4.5,5.143
265120324,3.899,3.949,5.41
265120424,4.582,4.711,5.328
265120467,4.635,4.763,5.462
265120589,4.86,5.002,5.543
265120597,4.549,4.611,5.458
265120677,4.989,5.084,5.84
265124786,4.688,4.853,5.385
265155147,5.09,5.39,5.494
265655867,6.112,6.203,6.74
265669024,3.794,3.939,5.204
266187342,5.559,5.854,5.943
266187383,5.127,5.302,6.003
266187477,5.372,5.604,5.865
266187480,5.412,5.594,5.881
266187532,5.075,5.121,5.992
266187559,4.851,4.924,6.076
266191395,5.593,5.683,6.314
266191407,5.596,5.828,6.122
266200011,5.376,5.472,6.225
266276935,6.63,6.926,6.84
266527996,5.65,5.743,6.218
266528044,5.471,5.618,6.031
266528078,5.501,5.572,6.212
266528086,5.565,5.658,6.254
266536576,6.377,6.511,6.943
266626740,4.938,5.482,5.217
266691460,5.821,5.949,6.379
266847236,4.864,5.038,5.713
266873389,4.806,4.816,5.925
266873401,4.79,4.824,6.006
266873591,5.37,5.88,5.593
267214250,5.748,5.918,6.313
267223027,4.884,4.842,6.141
267223104,5.261,5.321,6.29
267227062,4.552,4.602,5.762
267304783,5.96,6.177,6.445
267551639,5.906,6.032,6.559
267559575,4.93,4.972,6.094
267559665,4.925,4.912,6.089
267564140,4.947,4.926,6.016
267572587,5.027,5.029,6.104
267896359,4.969,5.084,5.732
267896360,5.415,5.718,5.864
267900632,5.175,5.219,6.194
268237554,4.628,4.702,5.886
268725517,4.514,4.516,5.918
268731005,5.964,6.125,6.673
270322941,6.199,6.498,6.461
294161385,4.663,4.91,5.124
294424196,4.145,4.165,5.047
294428266,4.201,4.276,5.025
294432626,3.555,3.808,4.166
294432760,4.209,4.285,5.15
294436967,4.288,4.481,4.841
294437328,4.55,4.678,5.247
294437347,3.926,4.052,4.592
294441510,4.551,4.649,5.209
294445804,4.007,4.364,4.359
294445931,3.308,3.284,5.189
294450004,4.545,4.609,5.644
294450495,5.528,5.588,6.268
294756576,3.426,3.425,5.118
294760680,3.341,3.411,4.832
294760699,4.099,4.333,4.673
294760723,4.549,4.567,5.474
294760837,3.532,3.639,4.429
294773987,4.393,4.488,5.337
294774719,3.477,3.535,5.018
294774792,4.562,4.636,5.576
294778999,4.093,4.136,5.335
294782432,4.577,4.568,5.738
294782488,3.677,3.724,5.313
294783216,3.719,4.375,4.015
294783423,4.804,4.972,5.286
294786630,3.983,3.936,5.091
294786785,4.769,4.761,5.626
294787849,3.855,3.898,5.562
294791509,4.479,4.5,5.34
294791642,3.963,4.107,4.598
294792184,2.506,2.784,3.374
294792311,5.043,5.159,5.587
294792344,5.385,5.57,5.895
294795822,4.362,4.52,5.099
294795963,4.608,4.728,5.306
294799968,4.636,4.778,5.346
294800293,5.555,5.639,6.251
295063181,5.66,5.961,5.936
295103172,4.552,4.721,5.311
295106899,4.514,4.571,5.43
295107514,3.822,3.874,5.013
295111672,3.592,3.645,4.757
295111734,4.527,4.662,5.372
295115222,4.487,4.529,5.401
295115429,4.45,4.491,5.388
295115628,4.43,4.443,5.529
295115794,3.959,3.951,5.258
295116165,4.804,4.775,5.547
295116205,5.526,5.525,6.146
295119694,4.284,4.393,5.015
295120601,4.081,4.109,5.195
295120620,4.684,4.716,5.427
295124412,4.529,4.57,5.506
295127956,4.386,4.449,5.284
295132077,4.366,4.499,5.181
295132487,4.748,4.834,5.301
295132551,3.953,4.048,4.562
295132845,5.34,5.508,5.94
295133015,4.902,5.064,5.635
