bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,presyn.glom,layer,ct.layer,axon.outputs,axon.inputs,total.length,cable.length.glom.um,axon.length,notes
1672293878,232,549,549,1400,Traced,HRN_VP1d_R,169105141,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,NA,NA,NA,502,166,458.9528062,NA,101.2052419,
1884138473,266,604,604,1603,Traced,HRN_VP1d_R,207552142,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,197,1,NA,1605,597,497.337763,278.3394152,497.337763,
1888183031,266,642,642,1536,Traced,HRN_VP1d_R,195961306,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,220,1,NA,1538,642,505.5507861,324.482265,505.5507861,
1888183512,237,540,540,1386,Traced,HRN_VP1d_R,186435704,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,200,1,NA,1386,540,465.3297926,296.0754144,465.3297926,
1888528200,234,556,556,1434,Traced,HRN_VP1d_R,191296037,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,200,1,NA,1435,556,439.1452286,274.965039,439.1452286,
1918885778,251,529,529,1416,Traced,HRN_VP1d_R,180412376,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,207,1,NA,1415,529,443.5174558,264.6919958,443.5174558,
1918889952,229,544,544,1355,Traced,HRN_VP1d_R,181779770,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,177,1,NA,1355,544,462.6582103,256.9647008,462.6582103,
1978908720,243,566,566,1400,Traced,HRN_VP1d_R,174490666,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,192,1,NA,1406,566,444.142831,241.1957018,444.142831,
2009953077,255,577,577,1493,Traced,HRN_VP1d_R,180441098,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,198,1,NA,1498,577,479.4133645,293.7049491,479.4133645,
5813066988,244,529,529,1453,Traced,HRN_VP1d_R,189211363,FALSE,U-ipsi,HRN_VP1d,HRN_VP1d,THRN,NA,VP1d,195,1,NA,1458,528,495.4252295,247.7380061,495.4252295,
1977898840,261,402,402,1520,Traced,HRN_VP1l_R,186110896,FALSE,U-ipsi,HRN_VP1l,HRN_VP1l,THRN,NA,VP1l,241,1,1,1525,402,373.2992079,251.3000139,373.2992079,
1977898894,226,397,397,1307,Traced,HRN_VP1l_R,199919218,FALSE,U-ipsi,HRN_VP1l,HRN_VP1l,THRN,NA,VP1l,214,1,1,1304,397,402.3744308,294.2716089,402.3744308,
2039623367,259,399,399,1470,Traced,HRN_VP1l_R,202437006,FALSE,U-ipsi,HRN_VP1l,HRN_VP1l,THRN,NA,VP1l,247,1,1,1471,394,411.2063793,262.9284824,411.2063793,
2101685376,241,393,393,1393,Traced,HRN_VP1l_R,199779376,FALSE,U-ipsi,HRN_VP1l,HRN_VP1l,THRN,NA,VP1l,231,1,1,1395,392,397.3746854,268.9651776,397.3746854,
2133060479,258,417,417,1448,Traced,HRN_VP1l_R,200330028,FALSE,U-ipsi,HRN_VP1l,HRN_VP1l,THRN,NA,VP1l,242,1,1,1451,416,413.5775604,273.6736551,413.5775604,
