"bodyid","pre","post","upstream","downstream","status","name","voxels","soma","connectivity.type","cell.type","class","cellBodyFiber","layer","ct.layer","total.length","notes"
"1508274233",12,3570,3570,37,"Traced","PS028_R",1655453880,TRUE,"PS028","PS028","DN","ADM03",6.839,7,3262.24302996661,NA
"1262014782",30,11597,11597,98,"Traced","DNa04_R",3920004963,TRUE,"DNa04","DNa04","DN","ADM03",6.717,7,6871.51520597573,NA
"1666492660",487,1252,1252,3546,"Traced","LAL019_R",961439012,TRUE,"LAL019","LAL019","DN","ADM03",6.649,7,3353.62452826128,NA
"1875590941",122,393,393,603,"Traced","PS037_R",260908150,TRUE,"PS037","PS037","DN","ADM03",6.519,7,1198.94609053293,NA
"1168915489",1018,3338,3338,7082,"Traced","LAL016_R",1612773799,TRUE,"LAL016","LAL016","DN","ADM03",6.715,7,6685.43698797685,NA
"1071044860",245,823,823,1436,"Traced","PS030_R",605296406,TRUE,"PS030","PS030","DN","ADM03",6.576,7,2203.54266819109,NA
"1103792936",23,1159,1159,107,"Traced","CL052_R",1392708290,TRUE,"CL052","CL052","DN","ADM03",6.018,6,2635.26792942765,NA
"1140249804",1205,9854,9854,8168,"Traced","LAL018_R",1864292121,TRUE,"LAL018","LAL018","DN","ADM03",6.592,7,11113.3089053934,"LVe-SpIp"
"1038636222",79,287,287,455,"Traced","PS038_R",244950150,TRUE,"PS038","PS038","DN","ADM03",6.662,7,1084.58105938464,NA
"1323407050",830,3678,3678,4917,"Traced","PS018_R",1306053682,TRUE,"PS018","PS018","DN","ADM03",6.567,7,6019.44576973394,NA
"1477239137",222,696,696,1206,"Traced","PS031_R",592742634,TRUE,"PS031","PS031","DN","ADM03",6.876,7,2001.34383608712,NA
"5813057723",628,3747,3747,4539,"Traced","PS019_R",1229499821,TRUE,"PS019","PS019","DN","ADM03",6.697,7,4989.31622182951,NA
"1140249852",589,1539,1539,4415,"Traced","VES007_R",1102833935,TRUE,"VES007","VES007","DN","ADM03",6.655,7,3794.75722393118,NA
"1315253052",118,1405,1405,933,"Traced","PS012_R",1416864081,TRUE,"PS012","PS012","DN","ADM03",6.411,6,3438.40324433298,NA
"1508274054",168,587,587,1112,"Traced","PS034_R",458970952,TRUE,"PS034","PS034","DN","ADM03",6.875,7,1500.88046572028,NA
"1847944705",156,585,585,909,"Traced","PS026_R",280641793,TRUE,"PS026","PS026","DN","ADM03",6.877,7,1668.61096830006,NA
"1666561406",821,2467,2467,5072,"Traced","LAL015_R",1689810440,TRUE,"LAL015","LAL015","DN","ADM03",6.78,7,5185.04894061196,NA
"642728308",82,5449,5449,445,"Traced","VES006_R",2048898932,TRUE,"VES006","VES006","DN","ADM03",6.667,7,6327.46071877816,NA
"5813133660",310,934,934,2207,"Traced","PS032_R",585718334,TRUE,"PS032","PS032","DN","ADM03",6.779,7,2416.05417772349,NA
"1375245983",997,6383,6383,7318,"Traced","PS010_R",2110396450,TRUE,"PS010","PS010","DN","ADM03",6.709,7,7649.18075397518,"L-VeSpIp"
"1139909038",1652,16764,16764,11374,"Traced","DNa03_R",3818061996,TRUE,"DNa03","DNa03","DN","ADM03",6.588,7,12739.2288044421,NA
"707116522",160,8228,8228,642,"Traced","DNa10_R",4093222408,TRUE,"DNa10","DNa10","DN","ADM03",6.316,6,5486.14203655967,NA
"1048846074",251,599,599,1543,"Traced","LAL020_R",423716710,TRUE,"LAL020","LAL020","DN","ADM03",6.782,7,1958.09192169882,NA
"5813123748",618,2150,2150,4879,"Traced","PS020_R",818961701,TRUE,"PS020","PS020","DN","ADM03",6.757,7,4110.40207453877,NA
"5813054186",191,620,620,1067,"Traced","PS033_R",519082215,TRUE,"PS033","PS033","DN","ADM03",6.87,7,1808.56631713806,NA
"5813082239",1167,6614,6614,9088,"Traced","VES005_R",2006895388,TRUE,"VES005","VES005","DN","ADM03",6.1,6,8537.86962123747,"LVe1"
"5813032590",172,498,498,1199,"Traced","PS024_R",281749585,TRUE,"PS024","PS024","DN","ADM03",6.811,7,1600.85595859276,NA
"1510998750",160,884,884,1009,"Traced","LAL021_R",313866404,TRUE,"LAL021","LAL021","DN","ADM03",6.529,7,2095.0024641737,NA
