"bodyid","pre","post","upstream","downstream","status","name","voxels","soma","side","connectivity.type","cell.type","class","cellBodyFiber","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","putative.classic.transmitter","putative.other.transmitter","FAFB.match","FAFB.match.quality","layer","ct.layer","axon.outputs","dend.outputs","axon.inputs","dend.inputs","total.length","axon.length","dend.length","pd.length","segregation_index","notes"
693927941,406,1552,1552,2401,"Traced","ALIN1_R",2072613254,TRUE,"right","ALIN1","ALIN1","TOON","PDM13","DM1","DM1","DPMm1","DPMm1","unknown","unknown","720575940602439731","good",4.00517598343685,4,2386,14,641,901,4312.67172844217,1238.31762925873,2332.27463755344,227.129095808682,0.380201024772299,NA
704699661,295,1153,1153,1623,"Traced","ALIN1_R",2026363558,TRUE,"right","ALIN1","ALIN1","TOON","PDM13","DM1","DM1","DPMm1","DPMm1","unknown","unknown","720575940607081867","medium",3.84751037344398,4,1610,13,319,829,4089.1934215818,984.429350178858,2293.5830746831,226.09224342996,0.50408629642826,NA
1036504644,307,459,459,2430,"Traced","ALIN3_R",961035642,TRUE,"right","ALIN3","ALIN3","TOON","PVL04","VLPl&p1","VLPl&p1_posterior","BLVp2","BLVp2_posterior","unknown","unknown","720575940614134045","medium",4.41152263374486,4,2301,16,39,401,2317.09683750797,468.460680766369,1288.34133525359,197.204985610999,0.780048573349025,NA
735091236,314,501,501,2420,"Traced","ALIN3_R",1021703998,TRUE,"right","ALIN3","ALIN3","TOON","PVL04","VLPl&p1","VLPl&p1_posterior","BLVp2","BLVp2_posterior","unknown","unknown","720575940614731047","good",4.5607476635514,4,2236,10,31,461,2248.63423243561,405.463601959652,1240.72321775035,195.317777600247,0.835379439991528,NA
1813089300,222,443,443,1622,"Traced","AOTU032_R",315592755,FALSE,"right","AOTU032","AOTU032","WEDPN","AVL01","WEDa2","WEDa2","BAlp3","BAlp3","GABA","unknown","none","none",5.29375,5,1061,517,71,365,1523.99161903829,261.781756591692,877.603706826968,126.247746586608,0.179286152071103,NA
1603054747,320,466,466,2277,"Traced","AOTU032_R",393313304,FALSE,"right","AOTU032","AOTU032","WEDPN","AVL01","WEDa2","WEDa2","BAlp3","BAlp3","GABA","unknown","none","none",5.12538860103627,5,1865,382,77,384,1811.02088332863,534.815963539924,920.111601615721,78.6493237476164,0.308058257043507,NA
1441331113,212,566,566,1595,"Traced","AOTU032_R",397740675,FALSE,"right","AOTU032","AOTU032","WEDPN","AVL01","WEDa2","WEDa2","BAlp3","BAlp3","GABA","unknown","none","none",5.1353305785124,5,778,790,66,494,1850.11669908727,241.486245257222,1164.76730750441,126.654526098166,0.113593073221784,NA
1354774257,268,517,517,1838,"Traced","AOTU034_R",368859642,FALSE,"right","AOTU034","AOTU034","WEDPN","AVL09","new_clone_3","new_clone_3","BAlp2","BAlp2","unknown","unknown","720575940614176541","good",5.16873706004141,5,1376,462,92,421,1735.28394981371,463.609661335374,975.132559766429,51.0656581310713,0.225732467783656,NA
540290380,243,453,453,1962,"Traced","AOTU043_R",594831469,TRUE,"right","AOTU043","AOTU043","WEDPN","PDL24","VLPd&p1","VLPd&p1_posterior","DPLl2","DPLl2_posterior","acetylcholine","unknown","720575940629933383","medium",5.14629049111808,5,1156,773,62,383,1685.73749041875,218.038954141686,1023.4480193168,147.661438585409,0.145141648866051,NA
1378574332,327,804,804,2666,"Traced","AOTU043_R",746603335,TRUE,"right","AOTU043","AOTU043","WEDPN","PDL24","VLPd&p1","VLPd&p1_posterior","DPLl2","DPLl2_posterior","acetylcholine","unknown","720575940634860398","medium",4.9557157569516,5,1414,1248,135,667,2200.7949184468,266.901560746437,1377.28214764367,142.499307941313,0.0950824678475085,NA
917493211,525,985,985,3160,"Traced","AOTU065(SCB052)_R",975099458,TRUE,"right","AOTU065","AOTU065","LHN",NA,NA,"unknown",NA,NA,NA,NA,"none","none",6.04830421377184,6,2477,648,251,715,3334.70508837003,892.050160938132,1749.58369570228,95.1389540165386,0.203481728528797,NA
758674661,477,1364,1364,4899,"Traced","ATL003_R",1151195317,TRUE,"right","ATL003","ATL003","TOON","ADL29","SIPa1","SIPa1_dorsal","BLAd2","BLAd2_dorsal","unknown","unknown","none","none",6.03305785123967,6,4825,39,486,864,2968.09724041979,964.968142133529,1174.04221901618,63.3160471992275,0.450898186818181,NA
