"bodyid","X","Y","Z"
"5813098080","778","21195","13089"
"5813087621","1764","20246","15200"
"5813058137","751","20686","13493"
"5813035183","535","23094","15896"
"5813014585","253","24722","13461"
"5812986485","768","21199","12194"
"1570922717","1614","21065","15356"
"1103327144","693","24464","12646"
"921969630","443","22649","12863"
"887433630","456","24236","12848"
"793298641","822","24242","13412"
"731244892","800","24232","14580"
"700210227","324","23893","15879"
"669852092","939","21528","12543"
"1014392280","1800","23498","17616"
"826762561","765","23765","13934"
"5813009998","210","23396","12244"
"1197449561","983","20002","13878"
"1166416004","716","19132","13260"
"1134703538","260","24153","16280"
"1130605683","910","21961","13844"
"1104686732","2033","21964","16515"
"1041602702","1194","20168","14253"
"1014051490","420","24080","12266"
"1011616276","100","24602","13698"
"980198319","390","24303","13570"
"979519562","451","23864","13968"
"975432645","800","22500","12390"
"949870573","80","23186","12000"
"948812702","1701","22686","16053"
"918123297","588","24590","13204"
"917086906","1439","22628","14861"
"883031393","686","19628","13551"
"882685590","1134","21601","13265"
"881991445","817","20655","12975"
"856407289","204","24846","13995"
"851684210","112","25387","15750"
"851317951","484","20812","13193"
"823999989","531","22960","12638"
"823988254","1068","22888","16225"
"823668338","1893","20720","15188"
"822289778","1974","21218","15003"
"820581199","371","22925","13105"
"794337453","1138","20814","14637"
"792610827","868","19226","13710"
"789580340","940","22550","15072"
"766781641","648","19993","13260"
"764006565","846","21046","12672"
"762948368","104","25532","14672"
"762263004","3442","22106","15508"
"761580655","1122","19318","14134"
"759586113","195","24177","15084"
"732600113","696","23010","16652"
"731919293","1158","24253","14347"
"731918732","354","23507","15588"
"731567967","664","23068","15411"
"728483069","2620","22705","16834"
"705381843","1504","21751","14091"
"703305408","937","23872","14383"
"700878180","1331","23073","14010"
"700550360","722","24060","13870"
"699894933","1212","23654","15136"
"698180393","1270","23040","15258"
"669869547","498","24486","14042"
"669171261","1258","22141","16112"
"667474054","1376","23166","14728"
"640221192","1305","22323","14541"
"638476365","380","24220","14472"
"638136190","192","20794","11398"
"607787481","1161","23283","16527"
"607104768","1291","23448","14208"
"607096048","1386","22282","15100"
"606444098","593","24572","14458"
"605791875","907","23082","13753"
"605417133","634","23494","15921"
"604031105","1112","22434","13313"
"579169910","1472","23562","14761"
"579169802","552","23782","15442"
"578474318","518","22729","16897"
"543365151","1346","23451","17262"
"515390688","959","23328","15577"
"512981720","1228","22539","15945"
"512645188","3370","22200","15424"
"511966686","1688","21899","15285"
"388513464","733","21584","13357"
"357823645","1718","22208","15708"
"357490931","1653","22557","15342"
"480931586","1866","21162","14332"
"5901195038","215","21167","11678"
"5813133775","326","23111","16372"
"5813061530","3702","15974","11658"
"5813012083","1877","22895","17251"
"5813010845","665","23514","14023"
"5813010525","1140","22325","14059"
"5812980863","1798","22306","16211"
"1321564092","2113","20441","15852"
"1290562990","553","21691","13708"
"1259528984","1129","21034","15048"
"1162711771","420","24028","13185"
"1131988003","1229","23742","16544"
"1100952886","1041","22760","14057"
"1042572999","933","23950","14905"
"1039867920","1486","21058","14710"
"1039267479","924","22940","15860"
"885132185","1066","22749","17106"
"856408517","205","24284","13088"
"762957069","970","22667","12842"
"732280395","1653","21323","14436"
"730882970","511","19209","12529"
"700878295","810","22078","14370"
"637121971","1016","21334","14462"
"605770509","1295","23626","15934"
"487144598","3283","22164","17350"
"360236724","532","23772","14454"
"328861282","2541","21176","15969"
"294437347","2367","22838","16352"
"1197454668","561","20836","12152"
"947590512","2999","21860","18124"
"1044075948","1572","20460","14696"
"982674745","784","21986","13036"
"890925383","562","24976","13500"
"5813060781","2500","21114","17359"
"1075041096","758","21707","12744"
"2160271244","2012","21924","14885"
"1106064205","0","24786","14112"
"982252540","486","23410","13490"
"5813075524","1808","21340","15621"
"1601957358","1113","20594","14245"
"1601957221","1215","22886","13210"
"1539542392","2550","21860","17235"
"1352983123","1998","21269","16370"
"1291245214","1635","21887","14554"
"1290904379","1180","21476","12864"
"1290563000","1212","21755","15435"
"1228489167","1243","21745","14511"
"1228489035","2250","21933","15857"
"1228484534","1122","21016","14139"
"1197450057","844","22657","13655"
"1197449936","600","20158","12612"
"1166415548","1131","23124","14289"
"1103996326","984","22088","15286"
"1013046019","1084","21611","14144"
"983362172","720","20570","12491"
"953004445","129","24107","12525"
"1228489539","1447","21933","14855"
"5813048876","14667","25291","14552"
"982674678","34401","24502","16552"
"890576126","34408","24576","16506"
"5901201909","1577","22936","10733"
"421300612","7638","22674","14756"
"360245971","675","20515","10831"
"5813010259","2278","22205","9566"
"639240544","749","22943","11549"
"577835762","407","21381","11312"
"546472393","1312","22238","10837"
"546127037","726","20786","11532"
"545786473","1547","22225","10446"
"453355233","527","22856","12170"
"453350926","1320","22686","11532"
"453026933","930","22386","11794"
"452677002","920","22890","11196"
"451663172","264","22872","11894"
"422669150","921","21554","11531"
"420956213","1652","20893","9836"
"420627152","872","22378","11270"
"392307898","643","20479","11209"
"391971977","1873","21468","9928"
"390953189","640","22395","12077"
"390590590","2630","24202","10662"
"360954739","1400","23519","10523"
"359227113","1134","23475","11010"
"329206628","996","23293","11424"
"298547259","2034","22586","9768"
"5901195761","3206","22681","9391"
"5901193642","1287","23427","11786"
"5813056887","1941","22520","13915"
"5813055907","518","22456","11564"
"5813055866","1836","22368","11208"
"5813055865","2010","23146","11789"
"5812983094","950","23162","12354"
"947820593","582","23726","11600"
"729621875","1874","22546","11892"
"701201945","1878","23424","10748"
"697476780","530","19076","10466"
"676479217","11304","17930","27950"
"577844302","965","21153","11166"
"547158593","2793","23778","11000"
"543692985","780","19818","10659"
"485745927","714","23732","11996"
"480978811","1946","23064","9985"
"453022644","1851","22099","10820"
"393340402","748","21236","11822"
"359926923","456","23367","11897"
"359240144","911","23937","11656"
"359219722","947","20882","10893"
"359210228","2530","20779","8748"
"297519736","1292","21890","13500"
"295461534","2587","21454","8983"
"329221260","1449","21769","10659"
"885168486","2536","22128","15138"
"482693819","1176","22982","11878"
"422388958","2338","22909","9422"
"392325540","1441","21116","10397"
"391289383","2943","22415","8443"
"329257947","2533","23065","12285"
"328887977","2290","23284","10258"
"328883690","1172","21348","10764"
"299268507","964","21774","10992"
"5901195077","2080","20986","9390"
"1439979802","2123","22175","10228"
"1070646938","940","24085","12753"
"919846263","3200","24061","14658"
"550638250","2953","23696","12694"
"549175510","1222","22004","12516"
"360263797","3448","22850","8922"
"359926731","2657","22649","9848"
"358197007","2610","22553","9141"
"330276998","2931","23517","13756"
"329254286","2756","23222","11735"
"295814630","1686","21616","10302"
"359556017","1772","22688","12959"
"917423207","2291","22814","13310"
"452340825","1883","21990","9906"
"5813055859","1416","22078","11566"
"5813046991","2861","23324","11175"
"1042957191","1464","22120","13072"
"980573057","2252","22748","10250"
"951234513","1596","23200","12480"
"796052404","2183","22594","10718"
"764683701","4314","24064","15598"
"516780722","3218","23788","13184"
"514712745","1764","22700","10360"
"512671271","3368","22914","15368"
"452971138","1215","20058","10170"
"390607680","651","21771","12120"
"359926787","2208","21481","9505"
"359926718","2883","23262","12816"
"359287673","735","22014","11442"
"330260421","3633","22168","8497"
"329566335","1417","21783","11284"
"329552035","504","21716","11604"
"328879764","3755","24156","14057"
"328519723","3414","22324","8922"
"328197044","1026","20652","10467"
"328188238","2432","21935","9173"
"297528741","2137","22802","11156"
"297519947","2732","22911","10328"
"296846314","2578","22948","10792"
"296842335","2426","23527","10713"
"5813047453","2916","23147","14149"
"5813009567","2816","22352","9616"
"5812982039","1372","22672","12646"
"1043143311","4900","25766","14876"
"1041343227","1616","23407","13078"
"1011611587","3848","23394","15630"
"947573616","4997","25678","15396"
"915481348","1120","21728","12058"
"392285973","2347","23598","11734"
"329215996","1583","23323","10273"
"327872592","2495","23028","11335"
"327861138","1328","22447","12000"
"734693858","3082","25167","12645"
"545441096","3078","25635","13240"
"453376390","3126","25168","13102"
"390629106","2499","24369","13357"
"641278400","3337","24396","11595"
"582696254","3401","24998","12007"
"576812462","2350","24688","12841"
"545440837","3106","25902","13588"
"544107243","3465","24903","12436"
"515437073","4604","25944","13911"
"514397189","2760","24758","10594"
"514073078","2666","25455","13295"
"485775679","4063","25395","12628"
"485430434","4372","27142","14200"
"485430376","2854","24762","13286"
"484040200","5708","28286","14054"
"483716037","2580","24361","12490"
"454706490","4534","26027","13564"
"454045389","2148","24288","12429"
"454041627","3766","25478","14094"
"453717632","3564","26232","13712"
"453350952","2572","25262","13741"
"452323015","3579","26125","13279"
"451960272","3934","26194","14074"
"421992069","4547","27020","13413"
"420615275","4482","26438","13263"
"420598392","3682","24888","14471"
"391643292","3682","25564","13806"
"391608263","3960","26198","13563"
"390593931","2644","25730","13803"
"360932188","3203","25248","11553"
"359905678","3470","25346","11274"
"359901157","3634","25370","11788"
"359219503","2455","24989","13330"
"328542009","2776","24944","11186"
"328524517","3878","26729","14075"
"5901193715","3834","25537","12280"
"5813115796","4301","27082","13937"
"5813085995","3485","26155","14162"
"5813055825","2792","25462","12820"
"5813026615","3740","25394","12879"
"5813010191","4250","26421","14378"
"5813010009","3932","26240","13022"
"5812980273","1938","24961","12479"
"981547981","4063","26741","13803"
"855414220","3590","25156","10624"
"764377593","3535","24429","14521"
"760604568","2605","24450","11569"
"730562988","3869","24819","12948"
"705139000","989","24973","13359"
"697132415","4276","25417","13904"
"671268907","2938","26058","14086"
"667132722","2621","25039","12893"
"614081109","4190","25289","13169"
"576143501","4806","27335","13943"
"575806223","2485","25024","12471"
"485430336","4459","26685","13001"
"454019960","2244","25186","12884"
"452996289","3202","25380","12016"
"452651486","2741","25085","11790"
"452651021","3188","25078","10896"
"421983723","4386","26448","13660"
"421297485","4316","25178","14514"
"420965117","4051","25857","14471"
"420252614","3356","25291","14259"
"389909109","2328","24856","11796"
"388284324","1926","25072","13662"
"329919036","3488","24803","11165"
"327838570","2735","24892","14210"
"949534412","1896","25068","13091"
"887148641","3996","26030","12572"
"610916994","3854","24927","11607"
"548488948","3791","24710","12107"
"453026883","3377","24878","12924"
"421305971","2925","24838","13717"
"612367371","3395","24736","13692"
"391289810","3278","24808","10610"
"5813009791","3406","25207","13913"
"5813009518","3415","25632","12476"
"5812989557","3266","25736","12883"
"1353690708","2363","24679","12315"
"1229538338","4011","26541","13330"
"1198504136","4669","27331","13755"
"1074678938","3718","25694","13468"
"1042656011","4302","26077","12956"
"981215328","3910","24986","14018"
"854106922","3036","24546","14558"
"609224408","2964","24490","14106"
"582700300","3014","24658","11499"
"576816635","3669","25233","13519"
"545786279","4804","26567","13799"
"485771504","2989","24400","13062"
"421975193","4137","27082","14658"
"421650982","4438","26474","14102"
"390616420","4169","25915","13326"
"390598284","3386","24718","13964"
"359564703","4098","25066","13552"
"359555152","2202","25363","13358"
"329214990","2436","24694","13692"
"328533857","4249","26021","13901"
"328524904","3359","25817","13892"
"328206519","3230","25434","13597"
"5901192948","4574","25054","14222"
"5813054421","2741","25217","12281"
"5813053731","2714","24156","12120"
"5813011066","3303","24901","14449"
"1043289707","1909","24544","13229"
"888084738","1385","24859","13065"
"359219263","3467","25794","14323"
"481653694","1466","23716","20542"
"5813040903","874","26050","21658"
"5813013530","886","26348","23760"
"5813013203","1723","23657","19955"
"5813013183","1161","26643","24019"
"5813012462","1223","27836","24452"
"5812980039","1670","26068","22082"
"883030091","1111","25588","22905"
"855043038","1632","25318","21812"
"699212545","1369","27271","23334"
"674001478","1889","25676","22374"
"668152044","1173","27131","24669"
"667841133","653","25661","22179"
"640220321","1335","26208","23809"
