"glomerulus","RN","laterality","expected_cit","expected_RN_female_1h","expected_RN_female_SD","missing","RN_frag","odour.scenes","key_ligand","valence"
"D","Or69aA/B","bilateral","Grabe2016",24,6.1,"<25%","yes","dangerous","linalool","aversive"
"DA1","Or67d","bilateral","Grabe2016",62.5,10.8,"0","no","pheromones","cis-vaccenyl acetate","unclear"
"DA2","Or56a","bilateral","Grabe2016",24,1.9,"<25%","yes","dangerous","geosmin","aversive"
"DA3","Or23a","bilateral","Grabe2016",15,0,"<25%","yes","fruity","1-pentanol","appetitive"
"DA4l","","bilateral","Grabe2016",27,3,">25%","yes","dangerous","1-hexanol","unclear"
"DA4m","Or2a","bilateral","Grabe2016",27,0,">25%","yes","unknown","unknown","aversive"
"DC1","Or19a","bilateral","Grabe2016",27,0,"0","no","fruity/dangerous","valencene/2-nonanone","unclear"
"DC2","Or13a","bilateral","Grabe2016",15,2.5,"0","no","plant_matter","6-methyl-5-hepten-2-ol","aversive"
"DC3","Or83c","bilateral","Grabe2016",15,2.9,"0","yes","pheromones","farnesol","unclear"
"DC4","Ir64a","bilateral","Grabe2016",15,0,"0","no","dangerous","protons","aversive"
"DL1","Or10a","bilateral","Grabe2016",37.5,6.5,"0","no","fruity","methyl salicytate","aversive"
"DL2d","Ir75a/b (subset Ir75c) (co Ir8a)","bilateral","Grabe2016",0,0,"0","no","decaying_fruit","butyric acid","unclear"
"DL2v","Ir75a/b (subset Ir75c) (co Ir8a)","bilateral","Grabe2016",0,0,"0","no","decaying_fruit","butyric acid","unclear"
"DL3","Or65a, Or65b, Or65c","bilateral","Grabe2016",19.5,0,"0","no","pheromones","cis-vaccenyl acetate","unclear"
"DL4","Or49a, Or85f","bilateral","Grabe2016",18,3.2,"0","no","dangerous","iridomyrmycin","aversive"
"DL5","Or7a","bilateral","Grabe2016",24,0,"0","no","alcoholic_fermentation/dangerous/plant_matter","ethanol/benzaldehyde/2-nonanone/trans-2-hexen-1-al/green leaf volatiles","aversive"
"DM1","Or42b","bilateral","Grabe2016",38.5,4.6,"0","no","yeasty","ethyl acetate/propyl acetate","appetitive"
"DM2","Or22a/b","bilateral","Grabe2016",8,3.9,"0","no","alcoholic_fermentation/fruity","ethanol/ethyl hexanoate/hexyl acetate/ethyl butyrate/butyl butyrate","appetitive/unclear"
"DM3","Or47a","bilateral","Grabe2016",34,8,"0","no","yeasty/fruity/dangerous","amyl acetate/2,5-dimethylpyrazine","unclear/aversive"
"DM4","Or59b","bilateral","Grabe2016",23,0,"0","no","yeasty","ethyl acetate","appetitive"
"DM5","Or85a, Or33b","bilateral","Grabe2016",23,6,">25%","yes","yeasty","ethyl-3-hydroxybutyrate","aversive"
"DM6","Or67a","bilateral","Tobin2017",26.5,0.71,"0","no","yeasty","2-phenylethanol","unclear"
"DP1l","Ir75a (co Ir8a)","bilateral","Grabe2016",15,0,"0","no","alcoholic_fermentation","acetic acid","unclear"
"DP1m","Ir64a","bilateral","Grabe2016",15,0,"0","no","alcoholic_fermentation","acetic acid","aversive"
"V","Gr21a/Gr63a","unilateral","Grabe2016",39.8,0,"0","no","alcoholic_fermentation","carbon dioxide","aversive"
"VA1d","Or88a","bilateral","Grabe2016",19.5,3.7,"<25%","yes","pheromones","methyl palmitate","unclear"
"VA1v","Or47b","bilateral","Horne2018",53.5,3.5,"0","yes","pheromones","methyl laurate","appetitive"
"VA2","Or92a","bilateral","Grabe2016",43.5,0,">25%","yes","alcoholic_fermentation","2,3-butanedione/acetoin","appetitive"
"VA3","Or67b","bilateral","Grabe2016",24,0,"0","yes","yeasty/fruity","amyl acetate/2-phenylethanol/acetophenone","appetitive"
"VA4","Or85d","bilateral","Grabe2016",29,0,"0","yes","yeasty","2-phenylethyl acetate","unclear"
"VA5","Or49b","bilateral","Grabe2016",15,0,"0","yes","animal_matter","2-methyl phenol","aversive"
"VA6","Or82a","bilateral","Grabe2016",34,0,"<25%","yes","yeasty/plant_matter","geranyl acetate/geranylacetone","aversive"
"VA7l","Or46aA","bilateral","Grabe2016",14.5,2.7,"0","yes","animal_matter","phenols","aversive"
"VA7m","","bilateral","Rybak2016",15,0,"<25%","yes","unknown/dangerous","unknown/benzaldehyde","aversive"
"VC1","Or33c/Or85e","bilateral","Grabe2016",12,1,"0","no","plant_matter","fenchone/cyclohexanone","unclear"
"VC2","Or71a","bilateral","Grabe2016",11.5,0,"0","yes","yeasty","4-ethygluaiacol","appetitive"
"VC3",NA,NA,NA,NA,NA,NA,NA,"dangerous/plant_matter","1-hexanol/green leaf volatiles","unclear/aversive"
"VC3l","Or35a (co Or83b+Ir76b)","bilateral","Grabe2016",23.75,6.9,"0","no","dangerous","1-hexanol","unclear"
"VC3m","Or35a (co Or83b+Ir76b)","bilateral","Grabe2016",23.75,6.9,">25%","yes","dangerous","1-hexanol","unclear"
"VC4","Or67c","bilateral","Grabe2016",14,4,"0","yes","alcoholic_fermentation","ethyl lactate","unclear"
"VC5","Ir41a (co Ir25a+Ir76b)","bilateral","Grabe2016",15,2.7,"<25%","yes","decaying_fruit","polyamines","unclear"
"VL1","Ir75d (co Ir25a)","unilateral","Grabe2016",15,0,"0","no","decaying_fruit","pyrrolidine","unclear"
"VL2a","Ir84a (co Ir8a)","bilateral","Grabe2016",29.5,0,"0","no","decaying_fruit/plant_matter","polyamines/phenylacetaldehyde","unclear"
"VL2p","Ir31a (co Ir8a)","bilateral","Grabe2016",15,0,"0","no","decaying_fruit/animal_matter","polyamines/2-oxopentanoic acid","unclear"
"VM1","Ir92a (co Ir25a+Ir76b)","bilateral","Grabe2016",15,1.7,">25%","yes","decaying_fruit","ammonia","appetitive"
"VM2","Or43b","bilateral","Grabe2016",18,6.5,">25%","yes","fruity","ethyl butyrate","appetitive"
"VM3","Or9a","bilateral","Grabe2016",18,0,">25%","yes","alcoholic_fermentation","2,3-butanedione/acetoin","aversive"
"VM4","Ir76a (co Ir76b + Ir25a)","bilateral","Grabe2016",29.5,2.8,"<25%","yes","decaying_fruit","phenylathylamine","unclear"
"VM5d","Or85b","bilateral","Grabe2016",8,0,"<25%","yes","fruity","2-heptanone","appetitive"
"VM5v","Or98a","bilateral","Grabe2016",8.5,2.9,"<25%","yes","yeasty/fruity","isomayl acetate/isoamyl acetate/ethyl benzoate","appetitive/unclear"
"VM7d","Or42a","bilateral","Grabe2016",11.5,6.5,"<25%","yes","alcoholic_fermentation/yeasty","acetal/ethyl acetate","appetitive"
"VM7v","Or59c","bilateral","Grabe2016",29,10.4,"0","no","fruity","ethyl butyrate ","unclear"
"VP1d","Ir40a (co Ir25a)","unilateral","Marin2020",8,1.4,"0","no","thermo_hygro","evaporation?","unclear"
"VP1l","Ir21a, (co Ir25a)","unilateral","Marin2020",6.5,0.71,"0","no","thermo_hygro","cool?","unclear"
"VP1m","Ir68a (co Ir25a? unclear)","unilateral","Marin2020",6.5,0.71,"0","no","thermo_hygro","humid?","unclear"
"VP2","Gr28b, (co Ir25a)","unilateral","Marin2020",3.5,0.71,"0","no","thermo_hygro","heating","unclear"
"VP3","Ir21a, (co Ir25a)","unilateral","Marin2020",4.5,0.71,"0","no","thermo_hygro","cooling","unclear"
"VP4","Ir40a (co Ir25a)","bilateral","Marin2020",14,0,"0","no","thermo_hygro","dry air","unclear"
"VP5","Ir68a (co Ir25a? unclear)","unilateral","Marin2020",8,1.4,"0","no","thermo_hygro","moist air","unclear"
